Source,Target,Weight
000732.SZ-2013,1908.HK-2019,0.957444613
000732.SZ-2013,1233.HK-2015,0.951210983
000732.SZ-2013,000671.SZ-2013,0.931417997
000732.SZ-2013,1908.HK-2018,0.930163595
000732.SZ-2013,1233.HK-2017,0.923310379
000732.SZ-2013,1233.HK-2018,0.910780196
000732.SZ-2013,1918.HK-2013,0.900603108
000732.SZ-2013,000732.SZ-2014,0.889132396
000732.SZ-2013,2868.HK-2014,0.884286582
000732.SZ-2013,1966.HK-2019,0.883974969
000732.SZ-2013,000671.SZ-2015,0.877584398
000732.SZ-2013,000732.SZ-2015,0.873827358
000732.SZ-2013,3380.HK-2014,0.87227917
000732.SZ-2013,3301.HK-2016,0.868809031
000732.SZ-2013,1628.HK-2019,0.868544338
000732.SZ-2013,600048.SH-2013,0.853864642
000732.SZ-2013,0884.HK-2017,0.852763807
000732.SZ-2013,0884.HK-2018,0.85049868
3333.HK-2013,2007.HK-2013,0.923166047
3333.HK-2013,600383.SH-2017,0.910705119
3333.HK-2013,2007.HK-2014,0.906441957
3333.HK-2013,3333.HK-2014,0.899015765
3333.HK-2013,0813.HK-2013,0.894486837
3333.HK-2013,0884.HK-2019,0.883202009
3333.HK-2013,1638.HK-2017,0.881760086
3333.HK-2013,002146.SZ-2016,0.880699208
3333.HK-2013,3333.HK-2015,0.879132573
3333.HK-2013,2777.HK-2018,0.879103461
3333.HK-2013,600383.SH-2018,0.878748381
3333.HK-2013,1281.HK-2013,0.876143497
3333.HK-2013,1813.HK-2017,0.875311261
3333.HK-2013,600340.SH-2019,0.873776554
3333.HK-2013,600606.SH-2014,0.870926944
3333.HK-2013,1638.HK-2019,0.870012367
3333.HK-2013,2777.HK-2013,0.868716307
3333.HK-2013,1918.HK-2017,0.868628647
3333.HK-2013,1109.HK-2014,0.867755779
3333.HK-2013,2777.HK-2019,0.867706444
3333.HK-2013,0813.HK-2014,0.864477204
3333.HK-2013,0960.HK-2017,0.863145662
3333.HK-2013,0960.HK-2018,0.862873685
3333.HK-2013,3883.HK-2017,0.862863977
3333.HK-2013,1966.HK-2019,0.859678846
3333.HK-2013,1813.HK-2018,0.857888728
600340.SH-2013,600340.SH-2014,0.973694752
600340.SH-2013,3380.HK-2019,0.955807822
600340.SH-2013,002146.SZ-2014,0.938188128
600340.SH-2013,3380.HK-2017,0.925187872
600340.SH-2013,002146.SZ-2017,0.919796022
600340.SH-2013,2768.HK-2016,0.908945741
600340.SH-2013,1813.HK-2019,0.897507695
600340.SH-2013,1966.HK-2018,0.876978932
600340.SH-2013,601155.SH-2018,0.871508823
600340.SH-2013,600340.SH-2015,0.869758591
600340.SH-2013,601155.SH-2017,0.864364088
600340.SH-2013,600340.SH-2016,0.863252605
600340.SH-2013,3380.HK-2018,0.862949743
600340.SH-2013,002146.SZ-2013,0.855664924
600340.SH-2013,3380.HK-2013,0.847515903
600340.SH-2013,601155.SH-2019,0.842635374
600340.SH-2013,3383.HK-2019,0.842368252
600340.SH-2013,002146.SZ-2019,0.842362629
600340.SH-2013,002146.SZ-2018,0.842198634
600340.SH-2013,001979.SZ-2018,0.838620042
600340.SH-2013,000002.SZ-2014,0.837866794
1918.HK-2013,1233.HK-2018,0.920492971
1918.HK-2013,1908.HK-2018,0.91882386
1918.HK-2013,1233.HK-2017,0.916056346
1918.HK-2013,600048.SH-2013,0.903383258
1918.HK-2013,1233.HK-2015,0.89851257
1918.HK-2013,1908.HK-2019,0.897106649
1918.HK-2013,000671.SZ-2013,0.892164396
1918.HK-2013,0884.HK-2017,0.891118017
1918.HK-2013,1233.HK-2019,0.882496979
1918.HK-2013,0884.HK-2018,0.870161836
1918.HK-2013,000671.SZ-2015,0.867072132
1918.HK-2013,1628.HK-2019,0.865024131
1918.HK-2013,3380.HK-2016,0.863690237
1918.HK-2013,3380.HK-2013,0.861405467
1918.HK-2013,2768.HK-2017,0.859095147
1918.HK-2013,1966.HK-2019,0.85017608
1918.HK-2013,600340.SH-2015,0.849508548
1918.HK-2013,1966.HK-2018,0.846023515
000031.SZ-2013,000656.SZ-2015,0.960505122
000031.SZ-2013,0832.HK-2015,0.946166145
000031.SZ-2013,600466.SH-2015,0.913803208
000031.SZ-2013,000961.SZ-2017,0.909761545
000031.SZ-2013,3301.HK-2019,0.90712487
000031.SZ-2013,000671.SZ-2019,0.906300282
000031.SZ-2013,600606.SH-2017,0.904919185
000031.SZ-2013,2007.HK-2015,0.902949929
000031.SZ-2013,1862.HK-2016,0.900548276
000031.SZ-2013,600708.SH-2014,0.900192747
000031.SZ-2013,1862.HK-2019,0.897005246
000031.SZ-2013,000732.SZ-2019,0.893936349
000031.SZ-2013,600606.SH-2018,0.89169468
000031.SZ-2013,000961.SZ-2015,0.891688552
000031.SZ-2013,000961.SZ-2018,0.889234393
000031.SZ-2013,601155.SH-2015,0.888366321
000031.SZ-2013,002244.SZ-2016,0.887987856
000031.SZ-2013,3301.HK-2018,0.885518884
000031.SZ-2013,000031.SZ-2015,0.881975085
000031.SZ-2013,1862.HK-2017,0.881317619
000031.SZ-2013,600466.SH-2019,0.881011015
000031.SZ-2013,000961.SZ-2019,0.875054136
000031.SZ-2013,000961.SZ-2014,0.874874835
000031.SZ-2013,1638.HK-2014,0.874767797
000031.SZ-2013,600606.SH-2016,0.874575737
000031.SZ-2013,600606.SH-2019,0.874172894
000031.SZ-2013,601155.SH-2016,0.873928004
000002.SZ-2013,1813.HK-2015,0.938652503
000002.SZ-2013,0832.HK-2013,0.92153777
000002.SZ-2013,2768.HK-2019,0.917449178
000002.SZ-2013,0960.HK-2014,0.91639656
000002.SZ-2013,1813.HK-2013,0.913732336
000002.SZ-2013,1109.HK-2015,0.9023842
000002.SZ-2013,1813.HK-2014,0.902175662
000002.SZ-2013,0106.HK-2019,0.901285923
000002.SZ-2013,1109.HK-2013,0.894386772
000002.SZ-2013,000002.SZ-2015,0.888302043
000002.SZ-2013,0960.HK-2013,0.882788282
000002.SZ-2013,0884.HK-2013,0.882610112
000002.SZ-2013,000732.SZ-2018,0.882572061
000002.SZ-2013,0884.HK-2014,0.881013992
000002.SZ-2013,600606.SH-2019,0.877975059
000002.SZ-2013,002244.SZ-2017,0.869463961
000002.SZ-2013,600708.SH-2013,0.86909197
000002.SZ-2013,0960.HK-2016,0.868201756
000002.SZ-2013,0106.HK-2017,0.867979794
000002.SZ-2013,600606.SH-2018,0.867570963
000002.SZ-2013,601155.SH-2016,0.864139555
000002.SZ-2013,1966.HK-2017,0.855389793
000002.SZ-2013,1098.HK-2017,0.855378455
600376.SH-2013,600708.SH-2018,0.990192365
600376.SH-2013,3883.HK-2015,0.959023663
600376.SH-2013,1777.HK-2017,0.947555638
600376.SH-2013,3883.HK-2013,0.946814774
600376.SH-2013,002146.SZ-2015,0.916025823
600376.SH-2013,000031.SZ-2014,0.885696772
600376.SH-2013,3380.HK-2014,0.86974511
600376.SH-2013,1628.HK-2019,0.867618798
000656.SZ-2013,0106.HK-2016,0.94057527
000656.SZ-2013,1862.HK-2013,0.939311529
000656.SZ-2013,0884.HK-2015,0.937911159
000656.SZ-2013,600383.SH-2013,0.933109777
000656.SZ-2013,000926.SZ-2013,0.930912733
000656.SZ-2013,600708.SH-2015,0.926306465
000656.SZ-2013,600708.SH-2016,0.923491217
000656.SZ-2013,600466.SH-2015,0.922095494
000656.SZ-2013,600383.SH-2014,0.919422715
000656.SZ-2013,000926.SZ-2017,0.917648247
000656.SZ-2013,002244.SZ-2014,0.917612031
000656.SZ-2013,002244.SZ-2013,0.917421491
000656.SZ-2013,1966.HK-2015,0.917350596
000656.SZ-2013,1777.HK-2013,0.915677611
000656.SZ-2013,3380.HK-2015,0.909981064
000656.SZ-2013,600383.SH-2015,0.909085778
000656.SZ-2013,000031.SZ-2015,0.908461966
000656.SZ-2013,600383.SH-2016,0.90801623
000656.SZ-2013,1966.HK-2014,0.904308768
000656.SZ-2013,2868.HK-2017,0.903794584
000656.SZ-2013,1777.HK-2014,0.902509968
000656.SZ-2013,600708.SH-2017,0.901151632
000656.SZ-2013,1281.HK-2016,0.901004324
000656.SZ-2013,000926.SZ-2019,0.900358222
000656.SZ-2013,1628.HK-2013,0.899144663
000656.SZ-2013,1918.HK-2014,0.898934509
000656.SZ-2013,000961.SZ-2013,0.898812374
000656.SZ-2013,2868.HK-2016,0.896378885
1908.HK-2013,600466.SH-2014,0.962013907
1908.HK-2013,0106.HK-2013,0.942909314
1908.HK-2013,000656.SZ-2014,0.941236658
1908.HK-2013,1908.HK-2014,0.936216343
1908.HK-2013,1908.HK-2015,0.925740709
1908.HK-2013,1281.HK-2019,0.905771082
1908.HK-2013,1281.HK-2014,0.905429141
1908.HK-2013,2868.HK-2015,0.903442085
1908.HK-2013,3383.HK-2013,0.902579919
1908.HK-2013,001979.SZ-2016,0.901475128
1908.HK-2013,000732.SZ-2016,0.900495841
1908.HK-2013,1638.HK-2017,0.898612053
1908.HK-2013,2777.HK-2014,0.895455051
1908.HK-2013,600048.SH-2017,0.891080452
1908.HK-2013,000926.SZ-2014,0.889709141
1908.HK-2013,3301.HK-2017,0.885094741
1908.HK-2013,600325.SH-2014,0.882979488
1908.HK-2013,0884.HK-2019,0.881675778
1908.HK-2013,600376.SH-2017,0.880182869
1908.HK-2013,600325.SH-2017,0.87844596
1908.HK-2013,600048.SH-2014,0.877285
1908.HK-2013,600325.SH-2015,0.876086033
1908.HK-2013,1813.HK-2017,0.874387139
1908.HK-2013,000926.SZ-2015,0.872546011
0960.HK-2013,0960.HK-2014,0.908786969
0960.HK-2013,000002.SZ-2015,0.90690979
0960.HK-2013,1109.HK-2015,0.892592481
0960.HK-2013,0960.HK-2016,0.885100724
0960.HK-2013,600708.SH-2013,0.877621831
0960.HK-2013,1109.HK-2013,0.872830766
0960.HK-2013,0817.HK-2019,0.861887162
0960.HK-2013,0106.HK-2019,0.861660157
0960.HK-2013,1813.HK-2015,0.848122036
0960.HK-2013,000671.SZ-2018,0.839920508
600708.SH-2013,1628.HK-2016,0.927138551
600708.SH-2013,000732.SZ-2018,0.909562618
600708.SH-2013,0832.HK-2014,0.907711897
600708.SH-2013,0106.HK-2017,0.90731751
600708.SH-2013,000031.SZ-2019,0.906063704
600708.SH-2013,600376.SH-2014,0.89975783
600708.SH-2013,002244.SZ-2019,0.898468353
600708.SH-2013,0817.HK-2013,0.897949036
600708.SH-2013,1238.HK-2019,0.896248364
600708.SH-2013,0832.HK-2017,0.89486494
600708.SH-2013,0832.HK-2018,0.893379284
600708.SH-2013,0960.HK-2016,0.893367889
600708.SH-2013,1966.HK-2013,0.893131169
600708.SH-2013,1777.HK-2019,0.892907499
600708.SH-2013,0817.HK-2019,0.888711444
600708.SH-2013,002244.SZ-2015,0.88801967
600708.SH-2013,0884.HK-2016,0.8841662
600708.SH-2013,0817.HK-2015,0.878483777
600708.SH-2013,1238.HK-2015,0.877335537
600708.SH-2013,0817.HK-2017,0.875538785
600708.SH-2013,0817.HK-2016,0.875271875
600708.SH-2013,0832.HK-2016,0.874783541
600708.SH-2013,3900.HK-2019,0.873552614
600708.SH-2013,3301.HK-2018,0.869087167
600708.SH-2013,600606.SH-2018,0.862097139
600708.SH-2013,0106.HK-2019,0.86135505
2007.HK-2013,2007.HK-2014,0.959595534
2007.HK-2013,0813.HK-2013,0.885455529
2007.HK-2013,000656.SZ-2018,0.883999634
2007.HK-2013,3333.HK-2014,0.878014715
2007.HK-2013,3333.HK-2015,0.875345758
2007.HK-2013,3883.HK-2017,0.865111488
2007.HK-2013,600383.SH-2017,0.865065997
2007.HK-2013,0817.HK-2016,0.859544011
2007.HK-2013,1238.HK-2018,0.857467271
2007.HK-2013,0813.HK-2014,0.857443402
2007.HK-2013,1966.HK-2019,0.854733872
1233.HK-2013,000671.SZ-2014,0.948846919
1233.HK-2013,1862.HK-2018,0.940278629
1233.HK-2013,1233.HK-2014,0.85880023
1233.HK-2013,1233.HK-2016,0.852476227
1233.HK-2013,1966.HK-2017,0.843239119
1233.HK-2013,0106.HK-2018,0.841085059
1233.HK-2013,1966.HK-2016,0.835079878
1233.HK-2013,3380.HK-2013,0.832248305
3380.HK-2013,002146.SZ-2013,0.932165408
3380.HK-2013,2768.HK-2017,0.927365036
3380.HK-2013,0884.HK-2017,0.899837231
3380.HK-2013,1966.HK-2018,0.885242267
3380.HK-2013,600340.SH-2015,0.882132862
3380.HK-2013,600048.SH-2013,0.871765656
3380.HK-2013,1233.HK-2019,0.862952243
3380.HK-2013,601155.SH-2017,0.860058658
3380.HK-2013,1233.HK-2014,0.856867557
3380.HK-2013,002146.SZ-2017,0.854856784
3380.HK-2013,002146.SZ-2014,0.854755956
3380.HK-2013,1233.HK-2018,0.85430784
3380.HK-2013,3380.HK-2018,0.850829939
3380.HK-2013,0106.HK-2018,0.848565253
3380.HK-2013,2768.HK-2016,0.848530627
3380.HK-2013,600340.SH-2014,0.848175484
3380.HK-2013,3380.HK-2019,0.844373352
3380.HK-2013,1233.HK-2016,0.842204651
3380.HK-2013,1966.HK-2019,0.837750452
3380.HK-2013,1233.HK-2015,0.835631077
3380.HK-2013,1966.HK-2017,0.833882429
3380.HK-2013,1966.HK-2016,0.829188238
600325.SH-2013,000926.SZ-2015,0.957453998
600325.SH-2013,000926.SZ-2014,0.944853123
600325.SH-2013,600376.SH-2015,0.922266642
600325.SH-2013,000732.SZ-2015,0.922248643
600325.SH-2013,3301.HK-2016,0.911235055
600325.SH-2013,2868.HK-2014,0.909030085
600325.SH-2013,000732.SZ-2014,0.905012117
600325.SH-2013,600325.SH-2014,0.903499637
600325.SH-2013,002146.SZ-2015,0.867397962
600325.SH-2013,1813.HK-2017,0.864903147
600325.SH-2013,000656.SZ-2014,0.864846074
600325.SH-2013,3380.HK-2016,0.863329403
600325.SH-2013,1813.HK-2016,0.859407019
600325.SH-2013,000961.SZ-2014,0.856838987
600325.SH-2013,3883.HK-2015,0.852810043
600325.SH-2013,3883.HK-2013,0.850502868
000926.SZ-2013,1862.HK-2013,0.956332033
000926.SZ-2013,600708.SH-2016,0.954131707
000926.SZ-2013,000926.SZ-2017,0.951279109
000926.SZ-2013,0106.HK-2016,0.947221684
000926.SZ-2013,600708.SH-2017,0.93761839
000926.SZ-2013,1281.HK-2016,0.93038856
000926.SZ-2013,002244.SZ-2013,0.922428691
000926.SZ-2013,600383.SH-2013,0.921037452
000926.SZ-2013,600383.SH-2014,0.91248229
000926.SZ-2013,600383.SH-2016,0.907055636
000926.SZ-2013,0884.HK-2015,0.902111526
000926.SZ-2013,1098.HK-2013,0.895306728
000926.SZ-2013,1918.HK-2014,0.895236639
000926.SZ-2013,600466.SH-2015,0.892500135
000926.SZ-2013,1098.HK-2016,0.892470139
000926.SZ-2013,3380.HK-2015,0.890695733
000926.SZ-2013,1628.HK-2013,0.890242502
000926.SZ-2013,2868.HK-2013,0.890133922
000926.SZ-2013,1918.HK-2015,0.890127018
000926.SZ-2013,1862.HK-2017,0.889059893
000926.SZ-2013,600708.SH-2015,0.883114921
1109.HK-2013,0884.HK-2014,0.937385614
1109.HK-2013,0884.HK-2013,0.934763943
1109.HK-2013,0106.HK-2019,0.923487619
1109.HK-2013,1813.HK-2013,0.912362961
1109.HK-2013,1813.HK-2014,0.911022898
1109.HK-2013,1813.HK-2015,0.898574991
1109.HK-2013,000732.SZ-2018,0.898033411
1109.HK-2013,0832.HK-2013,0.897680802
1109.HK-2013,000961.SZ-2013,0.895762071
1109.HK-2013,2768.HK-2019,0.893093459
1109.HK-2013,1109.HK-2015,0.887527189
1109.HK-2013,0960.HK-2014,0.879808607
1109.HK-2013,002244.SZ-2013,0.879432592
1109.HK-2013,002244.SZ-2017,0.875980877
1109.HK-2013,000031.SZ-2019,0.874533255
1109.HK-2013,0106.HK-2017,0.873170115
1109.HK-2013,0960.HK-2016,0.864363159
600606.SH-2013,000031.SZ-2016,0.949854596
600606.SH-2013,1966.HK-2014,0.946448791
600606.SH-2013,1966.HK-2015,0.945579623
600606.SH-2013,1777.HK-2015,0.942132605
600606.SH-2013,1777.HK-2014,0.933390324
600606.SH-2013,3883.HK-2014,0.929108538
600606.SH-2013,3883.HK-2016,0.927670956
600606.SH-2013,3383.HK-2015,0.91975924
600606.SH-2013,3383.HK-2016,0.912733244
600606.SH-2013,600708.SH-2015,0.911537508
600606.SH-2013,000031.SZ-2014,0.910178366
600606.SH-2013,1638.HK-2013,0.90936013
600606.SH-2013,1628.HK-2015,0.909223055
600606.SH-2013,2868.HK-2017,0.90746854
600606.SH-2013,1628.HK-2013,0.907181735
600606.SH-2013,1777.HK-2013,0.904629563
600606.SH-2013,3377.HK-2019,0.897467509
600606.SH-2013,0884.HK-2015,0.896738714
600606.SH-2013,000031.SZ-2015,0.894002132
600606.SH-2013,3377.HK-2013,0.893234476
600606.SH-2013,1628.HK-2014,0.889122917
600606.SH-2013,1098.HK-2016,0.887784451
600606.SH-2013,1098.HK-2013,0.887353134
600606.SH-2013,1777.HK-2017,0.884600559
600466.SH-2013,1281.HK-2018,0.949972033
600466.SH-2013,2777.HK-2015,0.944233545
600466.SH-2013,0688.HK-2017,0.94085738
600466.SH-2013,3383.HK-2014,0.935762262
600466.SH-2013,3900.HK-2014,0.934125952
600466.SH-2013,600383.SH-2015,0.924051959
600466.SH-2013,0813.HK-2016,0.922178641
600466.SH-2013,0960.HK-2015,0.921530727
600466.SH-2013,1098.HK-2015,0.921389608
600466.SH-2013,600376.SH-2019,0.917024238
600466.SH-2013,000926.SZ-2019,0.915228761
600466.SH-2013,1098.HK-2014,0.912756601
600466.SH-2013,600048.SH-2016,0.912102768
600466.SH-2013,002244.SZ-2014,0.907208379
600466.SH-2013,1628.HK-2014,0.904679874
600466.SH-2013,3380.HK-2015,0.896186413
600466.SH-2013,3383.HK-2015,0.894021234
600466.SH-2013,1281.HK-2017,0.893229454
600466.SH-2013,600325.SH-2016,0.890754052
600466.SH-2013,600376.SH-2018,0.888222742
600466.SH-2013,000031.SZ-2018,0.878711269
002244.SZ-2013,600383.SH-2016,0.922153611
002244.SZ-2013,600708.SH-2016,0.920940014
002244.SZ-2013,600383.SH-2013,0.919191761
002244.SZ-2013,1862.HK-2013,0.918416465
002244.SZ-2013,000926.SZ-2017,0.91623527
002244.SZ-2013,601155.SH-2015,0.915996087
002244.SZ-2013,600606.SH-2017,0.91192399
002244.SZ-2013,0106.HK-2016,0.911735578
002244.SZ-2013,1918.HK-2015,0.909225222
002244.SZ-2013,1918.HK-2014,0.909081109
002244.SZ-2013,600383.SH-2014,0.908574547
002244.SZ-2013,1862.HK-2017,0.908431494
002244.SZ-2013,1281.HK-2016,0.905523466
002244.SZ-2013,600466.SH-2015,0.904594811
002244.SZ-2013,600708.SH-2017,0.903033792
002244.SZ-2013,002244.SZ-2014,0.899599481
002244.SZ-2013,601155.SH-2016,0.894370194
002244.SZ-2013,000732.SZ-2019,0.893761624
002244.SZ-2013,3301.HK-2019,0.892586526
002244.SZ-2013,1862.HK-2019,0.890662558
002244.SZ-2013,002244.SZ-2016,0.887132515
002244.SZ-2013,000671.SZ-2019,0.88405346
002146.SZ-2013,2768.HK-2017,0.901777789
002146.SZ-2013,002146.SZ-2014,0.872012389
002146.SZ-2013,002146.SZ-2017,0.870537998
002146.SZ-2013,0884.HK-2017,0.867548833
002146.SZ-2013,1966.HK-2018,0.863384009
002146.SZ-2013,600340.SH-2014,0.862415033
002146.SZ-2013,600340.SH-2015,0.856776989
002146.SZ-2013,3380.HK-2019,0.856522194
002146.SZ-2013,3900.HK-2013,0.848945887
002146.SZ-2013,600048.SH-2013,0.844378344
002146.SZ-2013,1233.HK-2014,0.844350189
002146.SZ-2013,1098.HK-2019,0.841893969
002146.SZ-2013,1233.HK-2016,0.839019726
002146.SZ-2013,2768.HK-2016,0.837474385
002146.SZ-2013,3380.HK-2017,0.837006717
002146.SZ-2013,0688.HK-2013,0.831373593
002146.SZ-2013,0106.HK-2018,0.829764821
002146.SZ-2013,0688.HK-2014,0.826606433
000961.SZ-2013,000732.SZ-2018,0.926095555
000961.SZ-2013,0106.HK-2017,0.909434207
000961.SZ-2013,1777.HK-2013,0.906156475
000961.SZ-2013,000031.SZ-2019,0.905982161
000961.SZ-2013,600376.SH-2014,0.904042121
000961.SZ-2013,1966.HK-2013,0.901507276
000961.SZ-2013,0884.HK-2016,0.89758841
000961.SZ-2013,1098.HK-2017,0.892355558
000961.SZ-2013,0884.HK-2014,0.890662421
000961.SZ-2013,0884.HK-2013,0.889541528
000961.SZ-2013,1628.HK-2016,0.888244445
000961.SZ-2013,0106.HK-2014,0.884628686
000961.SZ-2013,0832.HK-2014,0.883907497
000961.SZ-2013,0106.HK-2019,0.88261601
000961.SZ-2013,1813.HK-2014,0.880874945
000961.SZ-2013,1908.HK-2017,0.880235916
000961.SZ-2013,1813.HK-2013,0.877873701
000961.SZ-2013,0106.HK-2015,0.877651505
000961.SZ-2013,0960.HK-2016,0.876469097
2777.HK-2013,600383.SH-2018,0.951987304
2777.HK-2013,1109.HK-2014,0.921862394
2777.HK-2013,3380.HK-2016,0.896087613
2777.HK-2013,600048.SH-2014,0.887029696
2777.HK-2013,600340.SH-2019,0.881667744
2777.HK-2013,600383.SH-2017,0.879705133
2777.HK-2013,3383.HK-2013,0.87783495
2777.HK-2013,3380.HK-2014,0.863898426
2777.HK-2013,001979.SZ-2017,0.863225627
2777.HK-2013,0813.HK-2013,0.858980755
2777.HK-2013,000732.SZ-2014,0.858176919
2777.HK-2013,1233.HK-2018,0.858033308
2777.HK-2013,0813.HK-2014,0.852226222
2777.HK-2013,2868.HK-2014,0.851811107
3883.HK-2013,3883.HK-2015,0.967662296
3883.HK-2013,600708.SH-2018,0.944562472
